Časť:,Číslo:,"Začiatok:, Dátum: ","Začiatok:, Čas: ","Koniec:, Dátum: ","Koniec:, Čas: ",Viditeľnosť,Viditeľnosť vzorákov,Výsledky sú finálne
"2. (Letná) časť, 15. ročník FKS",3,4.4.2000,0:00:00,4.5.2000,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 16. ročník FKS",1,11.9.2000,0:00:00,11.10.2000,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 16. ročník FKS",2,16.10.2000,0:00:00,15.11.2000,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 16. ročník FKS",3,6.11.2000,0:00:00,6.12.2000,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 16. ročník FKS",1,5.2.2001,0:00:00,7.3.2001,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 16. ročník FKS",2,12.3.2001,0:00:00,11.4.2001,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 16. ročník FKS",3,9.4.2001,0:00:00,9.5.2001,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 17. ročník FKS",1,27.8.2001,0:00:00,26.9.2001,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 17. ročník FKS",2,30.9.2001,0:00:00,30.10.2001,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 17. ročník FKS",3,5.11.2001,0:00:00,5.12.2001,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 17. ročník FKS",1,4.2.2002,0:00:00,6.3.2002,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 17. ročník FKS",2,11.3.2002,0:00:00,10.4.2002,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 17. ročník FKS",3,15.4.2002,0:00:00,15.5.2002,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 18. ročník FKS",1,26.8.2002,0:00:00,25.9.2002,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 18. ročník FKS",2,30.9.2002,0:00:00,30.10.2002,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 18. ročník FKS",3,4.11.2002,0:00:00,4.12.2002,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 18. ročník FKS",1,27.1.2003,0:00:00,26.2.2003,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 18. ročník FKS",2,24.2.2003,0:00:00,26.3.2003,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 18. ročník FKS",3,17.3.2003,0:00:00,16.4.2003,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 19. ročník FKS",1,25.8.2003,0:00:00,24.9.2003,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 19. ročník FKS",2,29.9.2003,0:00:00,29.10.2003,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 19. ročník FKS",3,3.11.2003,0:00:00,3.12.2003,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 19. ročník FKS",1,26.1.2004,0:00:00,25.2.2004,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 19. ročník FKS",2,8.3.2004,0:00:00,7.4.2004,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 19. ročník FKS",3,5.4.2004,0:00:00,5.5.2004,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 20. ročník FKS",1,30.8.2004,0:00:00,29.9.2004,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 20. ročník FKS",2,11.10.2004,0:00:00,10.11.2004,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 20. ročník FKS",3,1.11.2004,0:00:00,1.12.2004,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 20. ročník FKS",1,24.1.2005,0:00:00,23.2.2005,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 20. ročník FKS",2,7.3.2005,0:00:00,6.4.2005,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 20. ročník FKS",3,28.3.2005,0:00:00,27.4.2005,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 21. ročník FKS",1,5.9.2005,0:00:00,5.10.2005,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 21. ročník FKS",2,11.10.2005,0:00:00,10.11.2005,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 21. ročník FKS",3,31.10.2005,0:00:00,30.11.2005,23:59:59,TRUE,TRUE,TRUE
